"Country_name","Year","GDP_per_capita","Death_rate","Diet_high_in_sodium","Diet_low_in_whole_grains","Alcohol_use","Diet_low_in_fruits","Diet_low_in_nuts_and_seeds","Diet_low_in_vegetables","Low_physical_activity","Drug_Use","High_body_mass_index"
"Nauru",2010,"6536.3325","8.214",2,4,3,2,0,2,1,1,15
"Nepal",2010,"2682.6987","6.987",2307,2649,5132,2350,1946,1890,989,701,5049
"Netherlands",2010,"52032.99","8.198",1376,3915,6818,1623,583,1275,1187,503,9655
"New Zealand",2010,"37583.113","6.554",371,1144,1157,374,149,320,709,223,2866
"Nicaragua",2010,"4586.874","4.491",718,595,1270,558,222,444,137,63,2941
"Niger",2010,"1024.7384","10.589",680,894,684,1087,15,495,265,94,2293
"Nigeria",2010,"4857.266","14.628",6645,11473,42990,8148,246,5563,4262,10955,32438
"North Macedonia",2010,"13517.428","8.981",2436,1281,821,396,122,55,380,101,4132
"Norway",2010,"61353.477","8.508",484,1695,1247,441,431,516,1013,409,2645
"Oman",2010,"40819.938","2.585",102,646,81,56,300,106,466,55,2038
"Pakistan",2010,"4058.0085","7.599",19433,43858,14691,23936,15061,20324,13202,6625,70669
"Palau",2010,"14744.528","10.638",5,8,3,4,0,4,4,1,38
"Palestine",2010,"5411.0664","3.484",112,868,171,263,165,109,490,29,1810
"Panama",2010,"21455.684","4.755",419,355,705,253,127,254,88,49,1436
"Papua New Guinea",2010,"3283.715","7.134",943,1340,395,1017,314,755,439,227,3414
"Paraguay",2010,"11281.256","5.517",660,732,1603,352,134,454,356,139,3506
"Peru",2010,"9996.9375","6.895",2280,2508,5798,1322,1047,1295,1095,467,11220
"Philippines",2010,"5876.478","5.636",22899,12015,32185,8526,1548,8484,1957,840,40177
"Poland",2010,"23692.91","9.81",20043,18912,26047,8925,8758,2324,7885,1790,50685
"Portugal",2010,"31798.154","10",1231,3309,7371,1124,709,357,2793,611,9212
"Puerto Rico",2010,"32960.7","8.503",434,1041,1266,288,37,452,1063,166,4950
"Qatar",2010,"103902.516","1.263",20,146,53,10,18,2,105,22,605
"Romania",2010,"20419.188","12.293",28743,12935,21358,5764,6577,337,4681,2452,42076
"Russia",2010,"23961.22","14.318",72446,135745,235016,57715,58444,27542,38083,29801,310306
"Rwanda",2010,"1467.7363","8.068",926,577,4452,19,181,539,77,79,1601
"Saint Kitts and Nevis",2010,"24572.832","9.24",7,12,17,10,2,6,11,1,51
"Saint Lucia",2010,"14448.265","7.32",15,30,67,13,3,14,25,2,128
"Saint Vincent and the Grenadines",2010,"11606.397","6.916",15,33,38,9,2,14,28,2,115
"Samoa",2010,"5808.3037","5.275",19,61,26,35,1,38,33,8,244
"San Marino",2010,"71156.1","8.758",4,8,13,2,1,1,6,1,22
"Sao Tome and Principe",2010,"3324.9163","7.055",14,23,56,6,1,15,6,1,69
"Saudi Arabia",2010,"41056.547","2.498",930,5606,550,1924,2304,1593,4405,456,20465
"Senegal",2010,"2830.1533","7.19",782,1070,784,1114,43,612,507,91,3539
"Serbia",2010,"14513.582","13.641",12324,6428,5390,1640,1831,1499,2128,592,19075
"Seychelles",2010,"21322.54","6.713",26,17,46,10,3,12,7,6,62
"Sierra Leone",2010,"1401.5741","13.089",436,551,1706,580,12,467,193,61,1297
"Singapore",2010,"78115.21","4.017",696,573,219,177,172,114,294,101,1311
"Slovakia",2010,"25561.707","9.892",4944,3449,3463,1366,1049,874,1010,380,8151
"Slovenia",2010,"33350.613","8.942",1238,581,1097,152,140,167,218,171,2231
"Solomon Islands",2010,"2411.071","5.614",144,216,53,163,51,180,59,32,704
"South Africa",2010,"13469.361","11.257",3446,5192,32062,8587,3782,4141,6405,7994,52813
"South Korea",2010,"34394.492","5.248",10040,4745,23146,3785,1067,871,4026,1633,14598
"Spain",2010,"37298.47","8.174",2584,11763,19384,2079,1660,2027,8497,1673,38128
"Sri Lanka",2010,"9440.672","7.369",5645,3883,6590,3674,143,2347,1392,169,11371
"Sudan",2010,"4745.2974","7.648",1452,9741,1343,3040,3549,2786,7307,1532,17004
"Suriname",2010,"18255.625","7.109",54,90,174,58,5,56,71,12,437
"Sweden",2010,"47791.37","9.688",1490,4334,3887,1323,869,1299,1826,494,7975
"Switzerland",2010,"66133.29","8.048",884,2568,3774,799,305,718,1647,542,5208
"Tajikistan",2010,"2360.015","5.934",1668,2980,1249,1467,1402,371,440,308,2798
"Tanzania",2010,"1972.9811","8.88",6223,2192,17012,2437,65,2569,460,1948,10791
"Thailand",2010,"14172.218","6.307",11859,6150,32475,3795,106,5319,3256,10251,28452
"Togo",2010,"1588.3982","10.326",381,522,1254,687,13,484,157,257,1667
